Doctor ID,Doctor Name,Specialization,Rating,Location,Availability
DOC023,Dr. Anitha Selvam,Dermatologist,4.3,"Sundaram Hospital,No 20, EVR Main Road, Aruna Nagar, Puthur, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017",Mon-Fri (2PM-5PM)
DOC024,Dr. Sangeetha,Orthopedist,4.6,"Aiyshwariya Hospital, jayanthi bus stop, 5/2-1,vathukara street, Salai Rd, housing colony, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Mon–Fri (10AM–1PM)
DOC025,Dr. Meena Devi,Orthopedist,4.4,"Rana Hospital, A/10/156, Salai Rd, Thillai Nagar East, Annamalai Nagar, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Tue-Sun (4PM-8PM)
DOC026,Dr. Kavitha,Nutritionist,4.2,"Apollo Speciality Hospitals | Best Hospital in Trichy, Chennai Bypass Road Ariyamangalam Area, Old Palpannai, Tiruchirappalli, Tamil Nadu 620008",Mon-Fri (9AM-12PM)
DOC027,Dr. Revathi,Nutritionist,4.5,"Sudha Hospital,RMFP+26P, 7th Cross St W, Thillai Nagar East, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon-Sat (9AM-1PM)
DOC028,Dr. Swathi,Nephrologist,4.1,"Sri Ramakrishna Specialty Hospitals Pvt.Ltd., B20, 2nd Cross Rd, West Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon-Fri (2PM-5PM)
DOC029,Dr. Nandhini,Nephrologist,4.6,"American Hospital,RM4P+6H5, Melapudur, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620001",Tue-Sun (4PM-8PM)
DOC030,Dr. Divya,Nephrologist,4.3,"Sarans Hospitals ,1st Cross Rd, near passport office, North East Extension, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Tue-Sun (4PM-8PM)
DOC031,Dr. Himabindu Meesala,Gastroenterologist,4.8,"Olympia Hospital & Research Centre,47, 47-A, Puthur High Rd, Puthur, Tiruchirappalli, Tamil Nadu 620017",Mon-Fri (9AM-12PM)
DOC032,Dr. Arul Selvan,Gastroenterologist,4.6,"Velan Speciality Hospitals,Highways Colony, Subramaniyapuram, Tiruchirappalli, Tamil Nadu 620020",Mon-Sat (9AM-1PM)
DOC033,Dr. Prakash,Gastroenterologist,4.4,"Galaxy Chest Multi Specialty Hospital, B-35 11th Cross East Road, 9A Cross Rd, Tiruchirappalli, Tamil Nadu 620017",Mon-Fri (2PM-5PM)
DOC034,Dr. Vinoth Kumar,Gastroenterologist,4.3,"Sarans Hospitals ,1st Cross Rd, near passport office, North East Extension, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon–Fri (10AM–1PM)
DOC035,Dr. Saravanan,Immunologist,4.5,"Krishna Multispeciality Hospital,N.20, C/159, 9th Cross Rd E, Thillai Nagar East, West Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Tue-Sun (4PM-8PM)
DOC036,Dr. Balasubramanian,Immunologist,4.2,"Dr. Murugan's Health Care Multi Speciality Hospital, Vaas Nagar, 124/1A, Chennai - Trichy Hwy,Old Palpannai, Tiruchirappalli, Tamil Nadu 620008",Mon-Fri (9AM-12PM)
DOC037,Dr. Muthu,Immunologist,4.6,"Sudha Hospital,RMFP+26P, 7th Cross St W, Thillai Nagar East, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon-Sat (9AM-1PM)
DOC038,Dr. Anand,Hematologist,4.4,"Maruti Hospital, 95, Pattabiraman Salai, Anna Nagar, Tennur, Tiruchirappalli, Tamil Nadu 620017",Mon-Fri (2PM-5PM)
DOC039,Dr. Srinivasan,Hematologist,4.7,"Aiyshwariya Hospital,jayanthi bus stop, 5/2-1,vathukara street, Salai Rd, housing colony, Woraiyur, Tiruchirappalli, Tamil Nadu 620003

 
Hospital in Tiruchirappalli, Tamil Nadu",Mon-Fri (2PM-5PM)
DOC040,Dr. Kannan,Hematologist,4.3,"CSI Mission General Hospital, 8, Salai Rd, near St.Paul's Church, Ramlinga Nagar, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Tue-Sun (4PM-8PM)
DOC041,Dr.K.Kamala,ENT Specialist,4.8,"Best Ent Specialist ,Chennai Bypass Road, near Old Palpannai, Mahalakshmi Nagar, Tiruchirappalli, Tamil Nadu 620008",Mon-Fri (2PM-5PM)
DOC042,Dr. Murugan,ENT Specialist,4.5,"Gastro Care Hospital Trichy | Gastroenterologist Trichy | Laparoscopic hernia and GI Cancer Care |, C - 57, 11th Cross W, Thillai Nagar East, Tennur, Tiruchirappalli, Tamil Nadu 620018",Mon-Sat (9AM-1PM)
DOC043,Dr. Prabhu,ENT Specialist,4.4,"Mahatma Gandhi Memorial Government Hospital,EVR Rd, Puthur, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017",Mon-Fri (2PM-5PM)
DOC044,Dr. venkatesan,Orthopedic,4.3,"Aiyshwariya Hospital,jayanthi bus stop, 5/2-1,vathukara street, Salai Rd, housing colony, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Mon-Fri (2PM-5PM)
DOC045,Dr. Sekar,Orthopedic,4.6,"Maruti Hospital, 95, Pattabiraman Salai, Anna Nagar, Tennur, Tiruchirappalli, Tamil Nadu 620017",Tue-Sun (4PM-8PM)
DOC046,Dr. Raghavan,Orthopedic,4.2,"Viswanathan Speciality Hospitals, No-25 A1/A2, Trichy Chennai Trunk Rd, Near Jaipur Bhavan Function Hall, Tiruchirappalli, Tamil Nadu 620005",Mon-Fri (9AM-12PM)
DOC047,Dr. Ilango,Electrophysiologist,4.5,"Galaxy Chest Multi Specialty Hospital, B-35 11th Cross East Road, 9A Cross Rd, Tiruchirappalli, Tamil Nadu 620017",Mon-Sat (9AM-1PM)
DOC048,Dr. Ashwin,Electrophysiologist,4.1,"Rana Hospital, A/10/156, Salai Rd, Thillai Nagar East, Annamalai Nagar, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon-Fri (2PM-5PM)
DOC049,Dr. Santhosh,Electrophysiologist,4.6,"Nehru Hospital 24 Hour Service,No 21, Anna Street Main Road, Sangliandapuram, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620001",Mon-Fri (9AM-12PM)
DOC050,Dr. Arjun,Orthopedist,4.3,"Retna Global Hospital, Anna Nagar, Tennur, Tiruchirappalli, Tamil Nadu 620017",Tue-Sun (4PM-8PM)
DOC051,Dr.Raja,Oncologist,4.8,"Dr. Murugan's Health Care Multi Speciality Hospital, Vaas Nagar, 124/1A, Chennai - Trichy Hwy,Old Palpannai, Tiruchirappalli, Tamil Nadu 620008",Mon-Fri (9AM-12PM)
DOC052,Dr. R. Lakshmanan,General Physician,4.8,"Kauvery Hospital ,6, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Mon-Fri (9AM-12PM)
DOC053,Dr. S. Balakrishnan,General Physician,4.6,"Krishna Multispeciality Hospital,N.20, C/159, 9th Cross Rd E, Thillai Nagar East, West Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon-Sat (9AM-1PM)
DOC054,Dr. K. Mohanraj,General Physician,4.4,"Gastro Care Hospital Trichy | Gastroenterologist Trichy | Laparoscopic hernia and GI Cancer Care |, C - 57, 11th Cross W, Thillai Nagar East, Tennur, Tiruchirappalli, Tamil Nadu 620018",Mon-Fri (2PM-5PM)
DOC055,Dr. P. Senthil Kumar,General Physician,4.3,"SMS Hospital,No-128, RMGM+RM9 SMS Hospital, Jayanthi Bus Stop, 75-K, Salai Rd, near Jayanthi Bus Stop, Annamalai Nagar, Woraiyur, Tiruchirappalli, Tamil Nadu 620018",Mon-Fri (9AM-12PM)
DOC056,Dr. N. Srinath,General Physician,4.5,"Maa Kauvery, 27, Alexandria Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Tue-Sun (4PM-8PM)
DOC057,Dr. J. Prakash,Periodontist,4.2,"Aiyshwariya Hospital, jayanthi bus stop, 5/2-1,vathukara street, Salai Rd, housing colony, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Mon-Fri (9AM-12PM)
DOC058,Dr. A. Ravikumar,Periodontist,4.7,"Mahatma Gandhi Memorial Government Hospital,EVR Rd, Puthur, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017",Mon-Sat (9AM-1PM)
DOC059,Dr. M. Aravind,Periodontist,4.1,"Dr. Murugan's Health Care Multi Speciality Hospital, Vaas Nagar, 124/1A, Chennai - Trichy Hwy,Old Palpannai, Tiruchirappalli, Tamil Nadu 620008",Mon-Fri (2PM-5PM)
DOC060,Dr. S. Karthikeyan,Endocrinologist,4.6,"Viswanathan Speciality Hospitals, No-25 A1/A2, Trichy Chennai Trunk Rd, Near Jaipur Bhavan Function Hall, Tiruchirappalli, Tamil Nadu 620005",Mon–Fri (4PM–8PM)
DOC061,Dr. V. Dinesh Kumar,Endocrinologist,4.4,"Kauvery Hospital, 6, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Tue-Sun (4PM-8PM)
DOC062,Dr.R.Akalya,Endocrinologist,4.2,"Velan Speciality Hospitals,Highways Colony, Subramaniyapuram, Tiruchirappalli, Tamil Nadu 620020",Tue–Sat (11AM–3PM)
DOC063,Dr. Lakshmi Priya,Endocrinologist,4.9,"American Hospital,RM4P+6H5, Melapudur, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620001",Mon-Fri (9AM-12PM)
DOC064,Dr. S. Mythili,Gynecologist,4.7,"Sudha Hospital,RMFP+26P, 7th Cross St W, Thillai Nagar East, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon-Sat (9AM-1PM)
DOC065,Dr. Anuradha Ramesh,Gynecologist,4.6,"GVN Riverside Hospital,Thimmarayasamuthiram Trichy-Chennai NH-45, Thiruvanaikoil, Tiruchirappalli, Tamil Nadu 620005",Mon-Fri (2PM-5PM)
DOC066,Dr. Pavithra Anand,Gynecologist,4.4,"Aiyshwariya Hospital,jayanthi bus stop, 5/2-1,vathukara street, Salai Rd, housing colony, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Mon–Fri (4PM–8PM)
DOC067,Dr. Revathi Krishnan,Gynecologist,4.5,"Kauvery Hospital, 6, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Tue-Sun (4PM-8PM)
DOC068,Dr. Deepa Selvaraj,Emergency Medicine Specialist,4.3,"Kathir hospital,RUKMANI BUS STOP, 101 A, Salai Rd, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Mon-Fri (9AM-12PM)
DOC069,Dr. Sharmila Devi,Emergency Medicine Specialist,4.8,"SMS Hospital,No-128, RMGM+RM9 SMS Hospital, Jayanthi Bus Stop, 75-K, Salai Rd, near Jayanthi Bus Stop, Annamalai Nagar, Woraiyur, Tiruchirappalli, Tamil Nadu 620018",Mon-Sat (9AM-1PM)
DOC070,Dr. Kavitha Mohan,Emergency Medicine Specialist,4.2,"Dr.Shri Ramya Multi Speciality Hospital,9/1 Naidu Colony, EVR Rd, Aruna Nagar, Puthur, Bharthi Nagar, Tiruchirappalli, Tamil Nadu 620017",Mon-Fri (2PM-5PM)
DOC071,Dr. Nithya Balaji,Emergency Medicine Specialist,4.6,"Sarans Hospitals ,1st Cross Rd, near passport office, North East Extension, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon-Fri (9AM-12PM)
DOC072,Dr. Gayathri Venkatesh,Anesthesiologist,4.4,"Dr. Murugan's Health Care Multi Speciality Hospital, Vaas Nagar, 124/1A, Chennai - Trichy Hwy,Old Palpannai, Tiruchirappalli, Tamil Nadu 620008",Tue-Sun (4PM-8PM)
DOC073,Dr. R. Vishnu,Anesthesiologist,3.8,"Dr.Shri Ramya Multi Speciality Hospital,9/1 Naidu Colony, EVR Rd, Aruna Nagar, Puthur, Bharthi Nagar, Tiruchirappalli, Tamil Nadu 620017",Tue–Sat (11AM–3PM)
DOC074,Dr.S.Tamilselvan,Anesthesiologist,3.5,"GVN Riverside Hospital,Thimmarayasamuthiram Trichy-Chennai NH-45, Thiruvanaikoil, Tiruchirappalli, Tamil Nadu 620005",Tue–Sat (11AM–3PM)
DOC075,Dr.R.Monisha,Anesthesiologist,4.5,"Frontline Hospital, 37 & 39, near Anna Statue, Chinthamani Bazaar, Melachinthamani, Tiruchirappalli, Tamil Nadu 620002",Mon–Fri (10AM–1PM)
DOC076,Dr.P.Ronald Anto,Pulmonologist,4.6,"Maa Kauvery, 27, Alexandria Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Mon–Fri (10AM–1PM)
DOC077,Dr.R.Baskaran,Pulmonologist,3.7,"Kathir hospital,RUKMANI BUS STOP, 101 A, Salai Rd, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Tue–Sat (11AM–3PM)
DOC078,Dr.Rajesh,Pulmonologist,4.1,"Gastro Care Hospital Trichy | Gastroenterologist Trichy | Laparoscopic hernia and GI Cancer Care |, C - 57, 11th Cross W, Thillai Nagar East, Tennur, Tiruchirappalli, Tamil Nadu 620018",Mon–Sat (9AM–12PM)
DOC079,Dr.Kavitha Senthil,Pulmonologist,3.8,"Viswanathan Speciality Hospitals, No-25 A1/A2, Trichy Chennai Trunk Rd, Near Jaipur Bhavan Function Hall, Tiruchirappalli, Tamil Nadu 620005",Tue–Sat (11AM–3PM)
DOC080,Dr.Murali Rangan,Infectious Disease Specialist,2.8,"SMS Hospital,No-128, RMGM+RM9 SMS Hospital, Jayanthi Bus Stop, 75-K, Salai Rd, near Jayanthi Bus Stop, Annamalai Nagar, Woraiyur, Tiruchirappalli, Tamil Nadu 620018",Mon–Sat (9AM–12PM)
DOC081,Dr.M.Myvizhiselvi,Infectious Disease Specialist,4.9,"Kauvery Hospital, 6, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Mon–Fri (4PM–8PM)
DOC082,Dr.D.Ranjithkumar,Infectious Disease Specialist,4.2,"CSI Mission General Hospital, 8, Salai Rd, near St.Paul's Church, Ramlinga Nagar, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Mon–Sat (9AM–12PM)
DOC083,Dr.M.Muthukumar,Infectious Disease Specialist,3.9,"Nehru Hospital 24 Hour Service,No 21, Anna Street Main Road, Sangliandapuram, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620001",Mon–Sat (9AM–12PM)
DOC084,Dr.G.Gopalakrishnan,Infectious Disease Specialist,4,"Dr.Shri Ramya Multi Speciality Hospital,9/1 Naidu Colony, EVR Rd, Aruna Nagar, Puthur, Bharthi Nagar, Tiruchirappalli, Tamil Nadu 620017",Tue–Sat (11AM–3PM)
DOC085,Dr.S.Arunprasath,Oncologist,4.9,"Mahatma Gandhi Memorial Government Hospital,EVR Rd, Puthur, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017",Tue–Sat (11AM–3PM)
DOC086,Dr.D.Pradeep,Oncologist,4.6,"Aiyshwariya Hospital,jayanthi bus stop, 5/2-1,vathukara street, Salai Rd, housing colony, Woraiyur, Tiruchirappalli, Tamil Nadu 620003",Tue–Sat (11AM–3PM)
DOC087,Dr.K.Senthilkumar,Oncologist,3.6,"Kauvery Hospital, 6, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Mon–Fri (10AM–1PM)
DOC088,Dr.S.Xavier,Dentist,4.2,"Dr.Sam's Dental Clinic 3, 2nd St, Irudayapuram, Kilapudur, Palakkarai, Tiruchirappalli, Tamil Nadu 620001",Mon–Fri (4PM–8PM)
DOC089,Dr.S.Dheenadhayalan,Dentist,4.8,"Surya Dental Care ,D77, Near Padma Pazhamudir Solai, Near Mobile Express Showroom, 8th Cross East, Thillai Nagar, Trichy-620018, Tamil Nadu",Mon–Fri (10AM–1PM)
DOC090,Dr.B.Ananda Kumar,Dentist,4.7,"Rajesh Dental Clinic Trichy,F7 & 8, Vignesh Plaza, 75/A, Thillai Nagar Main Rd, Tennur, Tiruchirappalli, Tamil Nadu 620018",Tue–Sat (11AM–3PM)
DOC091,Dr.R.Santhiya,Pediatric Surgeon,4.7,"Mahatma Gandhi Memorial Government Hospital,EVR Rd, Puthur, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017",Tue–Sat (11AM–3PM)
DOC092,Dr.B.Mullaivendhan,Pediatric Surgeon,3.8,"Apollo Speciality Hospitals | Best Hospital in Trichy, Chennai Bypass Road Ariyamangalam Area, Old Palpannai, Tiruchirappalli, Tamil Nadu 620008",Mon–Fri (10AM–1PM)
DOC093,Dr.S.Karthikeyani,Pediatric Surgeon,4.5,"Viswanathan Speciality Hospitals, No-25 A1/A2, Trichy Chennai Trunk Rd, Near Jaipur Bhavan Function Hall, Tiruchirappalli, Tamil Nadu 620005",Mon–Sat (9AM–12PM)
DOC094,Dr.R.Sundhari,Urologist,4.7,"Mahatma Gandhi Memorial Government Hospital,EVR Rd, Puthur, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017",Tue–Sat (11AM–3PM)
DOC095,Dr.K.Ravi,Urologist,4.5,"Sarans Hospitals ,1st Cross Rd, near passport office, North East Extension, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon–Fri (10AM–1PM)
DOC096,Dr.R.kannagi,Urologist,4.3,"Viswanathan Speciality Hospitals, No-25 A1/A2, Trichy Chennai Trunk Rd, Near Jaipur Bhavan Function Hall, Tiruchirappalli, Tamil Nadu 620005",Tue–Sat (11AM–3PM)
DOC097,Dr.R.Lokeswari,Vascular Surgeons,4.6,"Mahatma Gandhi Memorial Government Hospital,EVR Rd, Puthur, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017",Mon–Sat (9AM–12PM)
DOC098,Dr.R.Logasri,Vascular Surgeons,4,"Viswanathan Speciality Hospitals, No-25 A1/A2, Trichy Chennai Trunk Rd, Near Jaipur Bhavan Function Hall, Tiruchirappalli, Tamil Nadu 620005",Tue–Sat (11AM–3PM)
DOC099,Dr.S.Arul,Vascular Surgeons,4.8,"Apollo Speciality Hospitals | Best Hospital in Trichy, Chennai Bypass Road Ariyamangalam Area, Old Palpannai, Tiruchirappalli, Tamil Nadu 620008",Mon–Fri (10AM–1PM)
DOC100,Dr.S.Gobika,Podiatrist,4.9,"Frontline Hospital, 37 & 39, near Anna Statue, Chinthamani Bazaar, Melachinthamani, Tiruchirappalli, Tamil Nadu 620002",Wed-Fri(1PM-4PM)
DOC101,Dr.C.Siva,Podiatrist,4.5,"Maa Kauvery, 27, Alexandria Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Mon–Sat (9AM–12PM)
DOC102,Dr.C.Rithika,Podiatrist,4.7,"JJ Hospital,  Cheran Salai St, LIC Colony, Ayyappa Nagar, K K Nagar, Tiruchirappalli, Tamil Nadu 620021",Tue–Sat (11AM–3PM)
DOC103,Dr.G.Birundha,Podiatrist,4.6,"Dr.Shri Ramya Multi Speciality Hospital,9/1 Naidu Colony, EVR Rd, Aruna Nagar, Puthur, Bharthi Nagar, Tiruchirappalli, Tamil Nadu 620017",Tue–Sat (11AM–3PM)
DOC104,Dr.P.Diwakar,Hepatologist,4.8,"SMS Hospital,No-128, RMGM+RM9 SMS Hospital, Jayanthi Bus Stop, 75-K, Salai Rd, near Jayanthi Bus Stop, Annamalai Nagar, Woraiyur, Tiruchirappalli, Tamil Nadu 620018",Tue–Sat (11AM–3PM)
DOC105,Dr.M.Divya,Hepatologist,4.6,"Kauvery Hospital, 6, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Tue–Sat (11AM–3PM)
DOC106,Dr.V.Sabari,Hepatologist,4.2,"Viswanathan Speciality Hospitals, No-25 A1/A2, Trichy Chennai Trunk Rd, Near Jaipur Bhavan Function Hall, Tiruchirappalli, Tamil Nadu 620005",Tue–Sat (11AM–3PM)
DOC107,Dr.k.Vinoth,Hepatologist,4.6,"Dr.Shri Ramya Multi Speciality Hospital,9/1 Naidu Colony, EVR Rd, Aruna Nagar, Puthur, Bharthi Nagar, Tiruchirappalli, Tamil Nadu 620017",Tue–Sat (11AM–3PM)
DOC108,Dr.G.Vignesh,Psychiatrist,4.8,"Homeocare International | Best Homeopathy Clinic in Trichy,East 5th cross street, Opp to Makkal Mandram Bus-stop, Tamil Nadu 620018",Mon–Sat (9AM–12PM)
DOC109,Dr.S.Karthikeyani,Psychiatrist,3.8,"ESI Hospital,Trichy,156, Major Saravanan Rd, Ponnagar Extension, Cantonment, Tiruchirappalli, Tamil Nadu 620001",Tue–Sat (11AM–3PM)
DOC110,Dr.Fathima,Psychiatrist,4.7,"AMIRTHA HOSPITAL,36 D2, Pattabiraman Salai, Anna Nagar, Tennur, Tiruchirappalli, Tamil Nadu 620017",Mon–Sat (9AM–12PM)
DOC111,Dr.Nancy,Neuro Surgeon,4.5,"Apollo Speciality Hospitals Trichy, Chennai By-pass Road, Near Old Palpannai Tiruchirappalli, Tiruchirappalli, Tamil Nadu 620008",Mon–Fri (4PM–8PM)
DOC112,Dr.Javeed,Neuro Surgeon,4.3,"SHIFA HOSPITAL,Kamraj Nagar, Tiruchirappalli, Tamil Nadu 620007",Tue–Sat (11AM–3PM)
DOC113,Dr.K.Jayabalan,Neuro Surgeon,4,"Arun Hospital,11/3, 1st Cross Rd, Thillai Nagar East, East, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Tue–Sat (11AM–3PM)
DOC114,Dr.M.Kamaluddin,Pediatrician,4.3,"Sudha Hospital,RMFP+26P, 7th Cross St W, Thillai Nagar East, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon–Fri (4PM–8PM)
DOC115,Dr.Surya,Pediatrician,4.2,"Kayal Hospital,55, Mailam Santhai, near Gandhi Market, Tiruchirappalli, Tamil Nadu 620008",Mon–Sat (9AM–12PM)
DOC116,Dr.Vasudevan,Pediatrician,3.8,"Parkavan Hospital,No 1 Tollgate, Thiruvalluvar Avenue, Bikshandar Kovil, Maruthi Nagar, Tiruchirappalli, Tamil Nadu 621216",Mon–Fri (4PM–8PM)
DOC117,Dr.J V Punitha,Plastic Surgeon,4.3,"G H hospital,50, Bharathidasan Salai, Anna Nagar, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017",Tue–Sat (11AM–3PM)
DOC118,Dr.S.Yogeshwaran,Plastic Surgeon,4.5,"SAM Hospital, RM9M+HFF, Thillai Nagar Main Rd, Srinivasapuram, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620018",Mon–Sat (9AM–12PM)
